net,length_um
_02966_,806.83
clknet_0_clk,778.87
_02967_,778.79
_01737_,683.28
net14,671.53
_03342_,663.65
net67,661.13
_02965_,656.84
net9,655.14
_03343_,637.8
_01769_,626.62
net12,621.28
_01709_,621.22
_01782_,613.75
_01848_,611.95
_02204_,610.13
_03217_,607.84
_02103_,607.825
_03323_,607.45
_01850_,601.42
net29,593.48
_01792_,591.59
_02105_,590.375
_02107_,581.02
_05149_,576.53
_05293_,576.5
_03219_,574.97
_01865_,574.62
net7,574.48
_01784_,572.3
_05311_,572.22
_02233_,571.47
_03235_,570
_02223_,569.82
_01863_,569.55
_01852_,567.47
_04443_,562.82
_01858_,561.16
_05129_,557.71
net79,556.86
_06038_,556.27
net16,555.42
_06058_,552.24
_02109_,550.42
_03487_,549.65
_05275_,546.73
_04905_,543.555
_05256_,542.665
_05238_,542.54
net25,541.86
_01838_,540.21
_01889_,538.24
_01837_,534.44
_01666_,534.25
_02104_,532.09
_01892_,531.39
_03259_,529.8
_04811_,528.97
_04792_,526.34
_06247_,526.01
_02035_,525.38
_03232_,525.38
_01841_,522.52
_01970_,521.79
_03197_,521.55
_01840_,516.95
_05110_,514.59
_01891_,513.53
_02968_,511.08
_05753_,511.02
_01774_,506.41
net15,505.6
_03187_,505.2
_06229_,502.56
_01878_,502.53
_05771_,501.64
_03177_,501.58
_01854_,499.86
_03243_,499.65
_05789_,499.48
_03321_,495.54
_05735_,493.52
_05808_,492.945
_05091_,492.92
_01870_,491.54
_02973_,491.135
_03009_,488.9
net32,487.65
_06211_,483.905
_01779_,482.64
_01902_,481.64
_01844_,479.76
_01901_,479.57
_01820_,478.38
_03244_,477
net6,476.565
_02136_,475.68
_03233_,473.745
_03315_,472.94
_01826_,472.815
_01849_,472.48
_01831_,472.08
_03260_,472.005
_01776_,469.2
_01828_,466.89
clknet_4_13__leaf_clk,465.76
net65,465.35
_06077_,463.61
_01741_,461.19
_03168_,457.28
_03399_,456.37
_01912_,456.19
_01789_,456.18
_05233_,456.11
_03176_,456.06
_01827_,454.94
_04449_,453.47
net66,452.61
clknet_4_8__leaf_clk,451.59
_01861_,451.28
_01833_,449.18
_04469_,448.77
_01830_,447.1
clk,447.06
net48,446.13
_03304_,445.87
_02145_,444.59
_01874_,441.9
net44,440.11
_05228_,439.28
_01795_,438.95
_01866_,437.7
_01798_,436.635
net33,435.88
_04442_,434.61
_02257_,434.42
_04465_,434.17
_03221_,433.345
_03308_,433.05
_03376_,431.76
net69,431.08
_02125_,430.39
_03544_,430.32
_01817_,430.3
_03325_,429.4
_03222_,428.79
net10,428.39
_01879_,426.8
_02963_,426.16
_01715_,424.845
_03317_,421.96
_03018_,420.81
_04810_,418.98
_01799_,418.035
_05109_,417.05
net8,415.4
_03000_,415.21
_03245_,414.97
_04969_,414.59
net5,414.48
_05226_,413.7
net21,413.56
_01847_,413.3
_03386_,411.33
_02974_,410.88
_03021_,410.64
_03169_,409.19
_02015_,408.72
_03200_,408.115
_04970_,407.86
_02256_,407.39
_02774_,407.24
_05752_,405.1
_04478_,404.17
_03312_,404
_06628_,403.43
_01719_,402.41
_06682_,401.04
_01823_,400.57
_01905_,399.27
clknet_4_11__leaf_clk,399.22
_06664_,396.52
_01906_,396.11
_03227_,395.93
net70,394.18
_01897_,393.84
net34,393.22
_02024_,392.53
net74,391.39
_01733_,391.26
_01816_,390.645
_02240_,390.64
_03390_,390.3
_01665_,388.9
_06079_,388.79
_01867_,388.56
_01796_,387.74
_01836_,384.33
net75,383.84
_02026_,383.47
_03338_,383.09
clknet_4_3__leaf_clk,382.79
_02991_,382.54
_04904_,382.23
net24,381.6
_06592_,377.91
_03543_,377.56
clknet_4_2__leaf_clk,375.5
_05390_,375.49
_02019_,375.47
_01788_,375.07
_02141_,374.835
_05133_,374.52
_01884_,373.62
_03218_,373.43
_05400_,373.32
_03231_,372.27
_03238_,372.2
_01807_,371.87
_03011_,371.73
_03397_,371.12
_02962_,369.98
net80,369.74
_05090_,369.39
_03300_,369.31
_03389_,368.8
net73,368
_01871_,367.98
net76,367.45
_01873_,366.81
_04791_,366.74
clknet_4_10__leaf_clk,366.18
_03014_,365.83
_02769_,365.13
_06067_,364.66
net36,364.16
_01890_,363.91
_01900_,363.35
_03685_,363.27
_04471_,362.64
_06086_,362.47
_06610_,362
_03199_,361.37
clknet_4_9__leaf_clk,360.11
_03374_,359.87
_04950_,359.57
net31,359.26
_02243_,357.95
_06037_,357.76
_03223_,357.47
_03226_,356.76
_05222_,356.48
_03006_,356.38
_02990_,355.58
_02997_,354.76
net28,354.56
_03201_,352.84
_00003_,351.74
_05388_,351.71
_03377_,351.09
_03165_,350.15
_02737_,350.03
_03398_,349.12
_02213_,348.78
_05329_,348.52
_04946_,347.66
net20,347.26
_06042_,347.13
ex_mm_reg.ALU_Result_Out\[3\],346.99
_01819_,346.15
_06071_,346.13
_02144_,345.955
_02018_,345.77
_05216_,345.59
_03406_,345.48
_02987_,345.15
_01896_,344.22
_03628_,344.15
_04944_,343.75
_04943_,343.01
net11,342.38
_03307_,342
_04947_,341.65
_01775_,341.52
net27,341.36
_04661_,341.06
_06519_,338.64
_01978_,337.32
_01794_,337.29
_01808_,337.08
_01981_,336.59
_01907_,336.41
net2,334.895
_04961_,334.06
_06069_,333.82
clknet_4_12__leaf_clk,333.73
_06483_,333.465
clknet_4_7__leaf_clk,333.37
_02961_,332.88
_03207_,332.13
_06556_,331.97
net71,331.48
_02098_,331.45
_04949_,331.15
_03384_,331.01
_03302_,330.96
_01749_,329.88
_04551_,329.32
_04532_,328.81
_04453_,328.54
_05395_,328.12
_04077_,327.82
_04784_,327.78
_04643_,326.735
_06084_,326.46
_03017_,326.41
_01984_,326.15
_03339_,325.93
_02133_,325.77
net19,325.26
net47,325.02
net38,324.92
_03689_,324.89
_05770_,324.33
_02976_,324.08
_06537_,323.43
_03204_,323.4
_04679_,321.97
_02994_,321.92
_03402_,321.61
_02251_,320.8
_01804_,320.75
_05734_,320.22
net39,319.42
_05349_,319.12
_04570_,319
net81,318.9
_03060_,318.53
_02964_,318.51
_02009_,318.38
clknet_4_15__leaf_clk,317.98
_04588_,317.65
_05235_,316.94
_03020_,316.89
_05437_,316.44
_02149_,316.42
_01812_,316.35
_03391_,315.48
_06073_,315.36
_01757_,314.74
_02008_,314.56
clknet_4_4__leaf_clk,314.36
_03028_,313.91
_06447_,313.53
_03380_,313.305
_05369_,312.84
_02090_,312.21
_03230_,312
_05144_,309.48
_03301_,309.44
_04773_,309.29
_05274_,309.23
_06411_,307.87
clknet_4_5__leaf_clk,307.45
_03184_,307.02
_06210_,306.97
_02913_,306.71
_05435_,306.45
_05220_,305.82
_03203_,305.74
_03871_,305.4
_05218_,305.14
_04463_,304.88
_01729_,304.745
_06501_,303.9
_06429_,303.69
_04867_,303.59
_01895_,302.65
_02993_,302.62
_05698_,302.62
_02124_,302.56
_03525_,301.51
_05807_,301.51
_02091_,301.23
_02999_,298.69
_04473_,298.54
_03262_,298.3
_04735_,297.76
_06465_,296.56
net35,296.26
net41,295.71
_01710_,295.55
net40,295.54
_03205_,294.52
_02791_,294.3
_05230_,293.98
_06718_,292.62
_06302_,292.21
_06142_,291.62
_02888_,290.64
_05207_,290.23
_03310_,290.22
_01886_,290.17
_05292_,290
_02862_,289.96
_06646_,289.96
_03208_,289.71
_04457_,289.68
_01803_,288.37
_03326_,287.71
_05148_,287.48
_04698_,285.735
_04830_,285.7
_05127_,284.94
_03174_,284.76
_05670_,284.13
_06342_,283.83
_05433_,283.34
_04004_,282.87
_03190_,282.48
net116,282.36
_02985_,282.2
_06180_,281.84
_01810_,281.56
_04886_,281.15
net13,281.04
_06189_,280.44
_03385_,277.91
_05310_,277.57
_05378_,276.81
_03212_,276.645
_05432_,276.32
_03225_,275.84
_04459_,275.46
_03674_,274.47
net112,273.84
net18,273.155
_01761_,272.46
_03247_,272.315
_05826_,271.93
net30,271.34
_01790_,271.24
_02003_,269.91
_04455_,269.82
_03051_,269.43
net72,269.415
_06700_,269.3
_05128_,268.83
_02829_,268.41
_06574_,268.16
_03926_,268.09
_04753_,268.04
_04437_,267.21
_04717_,266.9
_02939_,266.26
_01701_,266.25
_03375_,265.76
net1,264.42
_03660_,264.28
_04848_,264.2
_06246_,264.18
_03817_,263.99
_05788_,263.92
_01765_,263.81
_05384_,263.68
