net,length_um
net95,936.22
net77,907.75
net94,880.83
net5,824.89
net31,783.37
clknet_0_clk,758.45
net78,735.73
_05198_,724.47
_06130_,693.96
_04274_,691.37
net85,690.56
_05213_,686.83
net32,679.57
_04229_,672.25
_04128_,671.76
net88,665.16
net79,663.47
_07575_,642.1
net72,639.96
net93,633.645
_06449_,625.82
net92,621.69
net16,620.92
_04134_,618.92
net90,616.48
_06146_,616.17
net75,599.72
net67,595.98
_06079_,591.84
_06138_,587.35
_06114_,586.33
net7,584.29
net20,583.14
_06099_,578.05
_04276_,577.01
_04202_,576.31
net9,575.02
net3,573.41
net11,570.82
net66,570.77
_06122_,564.11
net30,553.05
_06164_,550.58
net17,542.68
_06205_,538.98
_06107_,536.24
_06442_,533.39
_04224_,531.53
_06496_,525.29
_06213_,520.25
net18,517.24
_06181_,516.55
_04125_,516.19
_05205_,513.73
net87,512.49
_04196_,511.14
_06229_,509.37
_06221_,508.34
_06115_,502.97
_06123_,501.87
net83,498.16
clk,497.81
_07061_,496.41
_06444_,493.78
net69,489.69
_07090_,489.18
_06139_,488.21
_06131_,487.88
_07294_,483.75
_06173_,483.24
_04177_,477.79
_07666_,477.76
net80,475.43
_06190_,473.34
net74,466.26
_07088_,465.93
_07292_,463.1
_04250_,462.66
_06174_,462.29
_07094_,459.98
_04268_,459.82
_05211_,459.61
_05235_,459.12
_07814_,455.9
clknet_2_1_0_clk,455.02
_06147_,452.14
clknet_2_0_0_clk,450.68
net10,447.96
_05278_,445.4
net76,445.16
_02296_,442.26
net8,441.52
_02265_,440.71
_04157_,440.61
_07092_,438.32
net86,438.095
_03885_,437.86
_06182_,437.55
_07816_,435.66
clknet_2_2_0_clk,434.55
clknet_2_3_0_clk,433.69
_04282_,431.59
_04193_,429.94
_07289_,428.5
net6,426.58
_07971_,425.09
_05272_,423.51
_02294_,422.17
_06165_,418.91
net15,417.98
_04180_,417.41
_02290_,414.79
_02292_,414.47
_02270_,412.7
net25,411.88
_04252_,410.39
_02288_,409.89
_02276_,407.89
_03905_,407.78
_04271_,406.73
_07812_,405.58
net12,404.405
_02279_,403.91
net82,403.83
_03678_,403.6
_06036_,402.4
net89,401.7
net35,401.56
_07063_,401.44
_03874_,400.54
_02286_,400.1
_03876_,398.76
_04206_,398.76
_05312_,398.42
_05275_,396.9
_06869_,396.56
_05296_,396.18
_05206_,395.2
_04169_,394.48
net96,393.1
_04233_,393.06
_07615_,392.47
_02272_,389.83
_06957_,387.14
_02282_,386.48
net91,385.43
_07810_,384.97
_04288_,382.505
net71,382.185
net70,382.04
_06662_,379.195
_06900_,378.93
_07806_,378.7
_06243_,377.47
_02345_,376.86
_05298_,375.85
_03887_,374.68
_05289_,374.13
_03903_,373.49
_08018_,372.17
_06098_,370.45
_06453_,370.13
_04278_,367.77
_04131_,367.48
_03667_,367.32
_07529_,366.77
_07991_,366.29
_07302_,365.69
_06620_,364.7
_08010_,364.39
_07084_,363.88
_02364_,362.65
_05282_,362.49
_02358_,362.08
_07266_,361.745
_02274_,360.91
_04183_,360.9
_02356_,360.62
_06719_,358.16
net33,357.64
_03878_,357.4
_03714_,356.31
_06166_,355.8
_07291_,355.695
_07065_,355.3
_06896_,353.65
_05393_,353.54
_02351_,353.06
net109,351.47
_05482_,351.12
_06892_,351.06
_06078_,350.375
_02284_,350.3
_07277_,349.97
_03901_,349.94
_07078_,349.44
_03907_,349.21
_05191_,349
_02349_,348.16
net81,347.98
_06871_,347.74
_03883_,347.22
_05290_,346.85
_08009_,345.66
_08191_,345.59
_06617_,345.02
_03889_,344.84
net107,344.58
_03669_,343.44
_06797_,343.12
_06806_,342.995
_02263_,342.62
_06898_,341.565
_06106_,340.49
_03671_,339.73
_07714_,339.12
_07074_,338.72
_00010_,338.175
_06902_,337.92
_05201_,337.5
net4,337.4
_07783_,336.97
_06785_,336.87
_03680_,336.21
_03710_,335.39
net68,334.66
_06767_,333.7
_08007_,333.375
_05228_,331.37
_03718_,331.12
_02366_,330.68
_06091_,330.06
_03880_,329.92
_05194_,328.72
_05338_,327.82
_07239_,327.64
_06802_,327.31
_03891_,326.91
_02362_,326.88
_06766_,326.76
_04706_,325.89
_07964_,325.57
_04190_,325.23
_08017_,325.06
bht_lut.pc_from_ex\[11\],324.37
_02354_,324.01
_03720_,323
_06782_,322.99
_03897_,322.79
_02347_,322.12
_07794_,321.98
_03716_,320.54
_02762_,320.47
_03682_,318.08
_06936_,316.43
_05284_,316.14
_06791_,316.13
_08357_,315.52
_05247_,314.52
_05226_,313.64
_08015_,313.115
_00013_,312.6
_02267_,312.45
_06195_,311.76
_06777_,311.415
_07246_,310.33
_05248_,310
_05188_,309.57
net26,306.36
_00009_,305.4
_07272_,305.035
_06448_,304.55
_04210_,303
_02360_,302.92
_03686_,302.4
_05261_,301.42
_06873_,301.14
clknet_5_31__leaf_clk,299.82
bht_lut.pc_from_ex\[14\],299.73
_06426_,298.73
_04186_,298.44
_07710_,298.33
_07659_,297.96
net65,297.77
_04311_,297.5
_06089_,295.28
_00011_,295.185
_07280_,294.95
_06786_,294.085
_04256_,292.04
_07785_,290.9
_06810_,290.66
_07263_,289.45
_08019_,289.32
_05307_,288.6
net29,288
_07080_,285.52
clknet_5_2__leaf_clk,283.4
_04103_,282.91
_08012_,282.335
_06316_,282.165
clknet_5_11__leaf_clk,281.94
_05266_,281.005
net38,279.6
_07256_,279.525
_07076_,279.28
_06800_,278.825
_07796_,278.34
register_file.registerFile\[7\]\[12\],278.26
_06759_,278.13
_04647_,277.19
_07082_,276.3
_03234_,276.12
_05260_,275.775
_05477_,275.39
_07306_,273.28
_07146_,272.28
_03673_,270.23
net1,270.1
clknet_5_8__leaf_clk,269.51
_07241_,268.69
_05328_,267.45
clknet_5_15__leaf_clk,267.33
_07067_,267.11
_02744_,266.22
_07153_,266.1
clknet_5_10__leaf_clk,264.74
_06220_,264.72
_07072_,264.08
clknet_5_18__leaf_clk,263.6
_02437_,261.56
_07070_,261.15
_06814_,260.13
_05610_,258.95
_07642_,258.4
clknet_5_23__leaf_clk,257.28
_08016_,256.95
net108,256.84
_03895_,255.92
_02725_,255.64
net28,254.3
_06359_,254.1
_07160_,253.87
_07248_,253.245
_07154_,253.22
_07981_,252.87
_04628_,252.49
_03015_,252.31
_05244_,251.81
_07445_,251.605
_07237_,251.42
clknet_5_16__leaf_clk,251.2
_07530_,251.12
_07800_,251
_05210_,250.265
_06813_,250.16
clknet_5_22__leaf_clk,250.11
_07792_,249.98
net13,249.5
_07314_,249.47
_03676_,248.98
_03317_,248.06
_07275_,248.035
_03893_,248
_04301_,247.4
_04306_,247.28
clknet_5_13__leaf_clk,247.13
net73,246.84
_07155_,245.73
clknet_5_17__leaf_clk,245.06
_03005_,244.9
_03016_,244.26
_04163_,244.02
_04399_,243.78
_08014_,243.76
_05573_,243.46
_04644_,243.23
_08213_,243.15
clknet_5_29__leaf_clk,242.82
_03327_,242.51
_05574_,242.225
_03684_,242.08
ex_mem_pipe_reg.Rd_Data_Out_PR\[11\],242.065
_07789_,241.76
clknet_5_12__leaf_clk,241.75
_07798_,240.65
_04625_,240.13
_03388_,240.02
register_file.registerFile\[7\]\[3\],239.34
_07257_,239.27
_03336_,239.195
_02456_,237.98
_05388_,237.86
_04137_,237.62
_06805_,237.56
clknet_5_3__leaf_clk,237.21
_05871_,237
_05830_,236.64
bht_lut.pc_from_ex\[8\],236.3
_03289_,236.14
_03298_,235.63
_07269_,235.42
net2,235.15
_08188_,234.46
_07970_,234.02
register_file.registerFile\[7\]\[1\],233.94
_05223_,233.83
_03200_,233.67
_02301_,233.06
la_sa_lm_sm_block.reg_index_la_sa\[0\],233.03
_03688_,233
register_file.registerFile\[7\]\[2\],232.76
register_file.registerFile\[7\]\[15\],231.08
_05953_,230.98
_06769_,230.86
_06624_,230.32
_04504_,230.07
net43,229.89
_05243_,229.59
clknet_5_30__leaf_clk,229.55
_06417_,229.35
register_file.registerFile\[7\]\[13\],228.92
_07507_,228.835
_06503_,228.72
clknet_5_26__leaf_clk,228.45
_05242_,227.88
_07621_,227.62
_06799_,226.56
register_file.registerFile\[7\]\[4\],226.52
_04246_,226.39
_07254_,226.135
_06228_,226.025
_03156_,225.85
_02418_,225.68
_06770_,225.375
net14,225.36
_07567_,225.2
_06773_,224.97
_05253_,224.84
_05337_,224.57
clknet_5_6__leaf_clk,224.57
net611,224.56
_03379_,224.455
clknet_5_5__leaf_clk,223.96
_05222_,223.9
_04076_,223.16
_05570_,223.11
_06542_,223.04
register_file.registerFile\[7\]\[14\],222.76
clknet_5_14__leaf_clk,222.68
_07243_,222.62
_06212_,222.54
_06244_,222.54
_06518_,222.46
_04631_,222.4
_03725_,221.89
_07304_,221.77
clknet_5_0__leaf_clk,221.72
net84,221.56
_07286_,220.94
clknet_5_7__leaf_clk,220.59
_05488_,220.33
net19,220.24
clknet_5_4__leaf_clk,220.03
_04200_,219.99
_04638_,219.54
_07163_,219.21
_04182_,219.18
_06362_,218.63
_05252_,218.56
_06489_,218.4
_05571_,218.24
_04890_,218.05
_07739_,217.77
alu_control.instr\[2\],217.35
